Time,IR_brachial,IR_ankle
4460,108850,104187
4465,108837,104166
4470,108855,104129
4475,108844,104131
4481,108845,104123
4485,108851,104128
4490,108841,104115
4495,108844,104105
4500,108854,104069
4505,108854,104066
4510,108846,104087
4515,108838,104092
4520,108842,104051
4526,108831,104024
4531,108843,103969
4536,108844,103972
4541,108837,103988
4544,108849,104022
4549,108851,104018
4554,108845,103985
4559,108841,103982
4564,108847,103986
4570,108848,104035
4575,108855,104056
4580,108858,104034
4585,108832,104002
4590,108837,103995
4595,108841,103941
4600,108834,103973
4604,108849,104011
4610,108860,104006
4615,108842,104033
4620,108833,104022
4625,108824,104017
4630,108830,104058
4635,108837,104037
4640,108841,104035
4645,108830,104071
4651,108855,104020
4656,108836,103981
4661,108844,104046
4664,108840,104044
4669,108844,104079
4674,108862,104078
4679,108849,104076
4684,108845,104120
4689,108840,104087
4695,108826,104108
4700,108842,104155
4705,108856,104133
4710,108841,104142
4715,108846,104128
4720,108836,104091
4725,108849,104086
4730,108872,104127
4734,108866,104133
4740,108866,104140
4745,108863,104161
4750,108868,104181
4755,108891,104162
4759,108873,104199
4764,108877,104229
4769,108883,104168
4774,108886,104172
4780,108876,104155
4785,108884,104145
4790,108896,104152
4794,108897,104168
4799,108894,104175
4804,108900,104193
4809,108890,104187
4814,108888,104201
4819,108910,104193
4825,108897,104206
4830,108914,104216
4835,108912,104191
4840,108923,104148
4845,108916,104145
4850,108940,104136
4855,108930,104143
4858,108933,104164
4864,108945,104159
4869,108943,104187
4874,108958,104177
4879,108946,104195
4884,108944,104215
4889,108951,104203
4894,108968,104189
4899,108939,104161
4904,108960,104105
4910,108956,104155
4914,108968,104159
4919,108964,104192
4924,108970,104191
4929,108971,104178
4934,108966,104176
4939,108973,104176
4944,108963,104216
4950,108984,104191
4955,108990,104236
4960,108994,104197
4965,108977,104147
4970,108988,104153
4975,109001,104187
4978,108978,104183
4983,108982,104195
4988,109005,104218
4994,109012,104214
4999,109025,104220
5004,109015,104233
5009,109013,104245
5014,109034,104267
5019,109032,104261
5024,109038,104223
5029,109029,104221
5035,109040,104181
5040,109056,104208
5044,109065,104216
5049,109076,104229
5054,109090,104263
5059,109084,104250
5064,109063,104245
5069,109078,104256
5074,109065,104274
5080,109059,104323
5085,109054,104271
5090,109070,104264
5095,109047,104247
5100,109041,104240
5103,109013,104241
5108,109029,104270
5113,109001,104286
5118,109015,104293
5124,108988,104292
5129,108981,104309
5134,108978,104305
5139,108961,104310
5144,108957,104305
5149,108957,104274
5154,108949,104232
5159,108941,104209
5165,108941,104190
5170,108940,104195
5174,108936,104213
5179,108937,104182
5184,108926,104173
5189,108921,104169
5194,108926,104149
5199,108931,104161
5204,108929,104165
5210,108920,104124
5215,108921,104069
5220,108905,104058
5224,108903,104027
5229,108920,104042
5233,108912,104034
5238,108904,104045
5243,108895,104035
5249,108901,104053
5254,108913,104034
5259,108901,104042
5264,108898,104049
5269,108901,104035
5274,108910,104031
5279,108903,104021
5284,108904,103994
5289,108917,103988
5295,108907,103984
5299,108894,104027
5303,108907,104020
5308,108906,104019
5313,108915,104017
5318,108916,104072
5323,108905,104077
5328,108888,104049
5334,108913,104071
5339,108905,104079
5344,108895,104000
5349,108889,104009
5354,108910,104039
5359,108909,104078
5363,108916,104076
5368,108918,104096
5373,108907,104096
5379,108917,104124
5384,108930,104100
5389,108922,104145
5394,108909,104151
5399,108921,104194
5404,108940,104142
5409,108926,104137
