Time,IR_brachial,IR_ankle
5219,109506,103833
5224,109511,103850
5229,109521,103832
5234,109512,103858
5239,109524,103806
5244,109532,103797
5249,109538,103785
5254,109536,103797
5258,109523,103820
5263,109529,103814
5268,109533,103828
5273,109545,103828
5278,109538,103831
5283,109546,103846
5288,109544,103856
5294,109551,103846
5299,109554,103815
5304,109539,103797
5309,109557,103774
5314,109558,103775
5318,109550,103825
5323,109547,103823
5328,109559,103843
5334,109555,103821
5339,109569,103848
5344,109565,103844
5349,109561,103831
5354,109563,103814
5359,109579,103793
5364,109588,103781
5369,109586,103806
5372,109591,103825
5378,109586,103842
5383,109578,103835
5388,109590,103860
5393,109582,103876
5398,109589,103867
5403,109593,103832
5408,109603,103833
5413,109600,103833
5417,109623,103838
5423,109617,103907
5428,109606,103862
5433,109605,103881
5438,109621,103890
5443,109623,103906
5448,109625,103907
5453,109629,103819
5458,109618,103815
5464,109637,103835
5469,109632,103863
5473,109630,103892
5478,109630,103885
5483,109628,103910
5488,109641,103897
5493,109642,103943
5498,109644,103923
5504,109645,103875
5509,109640,103865
5514,109630,103870
5519,109663,103898
5523,109659,103916
5528,109654,103930
5533,109650,103969
5538,109667,103997
5543,109663,103965
5549,109663,103904
5554,109658,103926
5559,109684,103907
5564,109668,103913
5567,109694,103938
5573,109682,103946
5578,109680,103960
5583,109672,103976
5588,109684,103971
5594,109701,103945
5599,109693,103915
5604,109705,103924
5607,109709,103947
5613,109697,104005
5618,109704,104001
5623,109706,103971
5628,109710,103974
5634,109713,103914
5639,109736,103949
5644,109715,103958
5647,109729,103964
5653,109730,103993
5658,109742,104022
5663,109744,103969
5668,109747,103971
5673,109740,103957
5679,109730,103968
5684,109742,103971
5688,109736,103987
5693,109726,104020
5698,109715,104025
5703,109708,103942
5708,109696,104002
5713,109693,103990
5719,109681,104008
5723,109674,103982
5728,109686,104041
5733,109674,104052
5738,109669,103986
5743,109676,103996
5748,109662,103987
5752,109652,103973
5758,109645,104033
5764,109641,103989
5769,109638,103924
5774,109634,103899
5777,109644,103901
5783,109626,103933
5788,109640,103862
5793,109639,103807
5798,109622,103788
5804,109629,103805
5808,109625,103789
5813,109619,103728
5818,109620,103721
5823,109636,103698
5828,109640,103710
5832,109617,103708
5838,109623,103702
5843,109610,103635
5849,109629,103667
5854,109615,103653
5857,109644,103655
5863,109628,103665
5868,109630,103624
5873,109642,103635
5878,109641,103643
5882,109612,103663
5889,109608,103674
5893,109621,103630
5898,109627,103633
5902,109623,103670
5908,109620,103629
5913,109610,103612
5918,109631,103656
5922,109643,103628
5928,109618,103646
5934,109621,103638
5939,109626,103640
5942,109622,103691
5948,109683,103642
5953,109645,103662
5957,109641,103681
5963,109660,103649
5968,109654,103681
5971,109631,103707
5978,109686,103657
5983,109651,103694
5987,109660,103732
5993,109747,103685
5998,109651,103719
6002,109686,103749
6008,109747,103704
6011,109660,103760
6018,109731,103743
6022,109659,103768
6028,109747,103766
6032,109686,103790
6038,109719,103796
6042,109719,103806
6048,109735,103790
6051,109722,103818
6059,109726,103825
6062,109732,103826
6068,109717,103831
6072,109746,103832
6078,109739,103846
6082,109725,103882
6088,109734,103832
6092,109740,103854
6096,109719,103852
6102,109712,103852
6107,109737,103838
6112,109724,103875
6117,109734,103868
6122,109720,103843
6127,109723,103865
6131,109738,103848
6136,109694,103845
6141,109688,103857
6147,109678,103873
6152,109651,103885
6157,109669,103865
